,Timestamp,Which tool are you evaluating?,"Overall, I was satisfied with the tool.",This tool was easy to use.,The tool is expressive enough to capture most of the functions I wanted to write.,It was easy to learn,"Do you have any comments on what worked or what didn't work? What strategies, if any, did you use when writing labeling functions?",How would you improve this tool?,"Do you have any feedback about how the study was conducted? If so, please tell us! (Otherwise, leave blank)",Anything other comments?,participant
11,5/22/2020 16:03:20,Ruler,3,5,3,5,,,,,p5
12,5/26/2020 13:57:27,Snorkel,5,4,5,5,,,,,p5
13,5/19/2020 17:59:17,Ruler,4,3,4,2,Categorizing tokens was hard.for me,"When I mouse over token(s), I wished I had a popup to categorize it",,It was great exercise for me! thank you!,p0
14,5/19/2020 22:40:46,Snorkel,5,4,5,4,I firstly write functions so that recalls get high.,"If non-essential codes (e.g. evaluation codes) were defined out of the notebooks, they would be more easy to understand.",,Great experiments! I will look into snorkel as I have some ML tasks. Thanks!,p0
15,5/20/2020 12:29:57,Snorkel,2,3,4,3,,,,,p1
16,5/21/2020 14:57:31,Ruler,4,5,4,4,"I noticed that my label accuracy did not constantly improving: first improves and then drops. Maybe this is just an extreme case, but I feel it is important to validate if other users also show similar trend.",Scalability: the system becomes slower towards the end. Further optimization & approximation could be considered.,,,p1
17,5/20/2020 14:55:28,Snorkel,2,2,4,2,My strategy was to directly take a look at examples and came up with salient words/phrases to write down keyword-based labeling functions. ,"I was confused with the metric shown in the second block of the Apply function section. The comment ""Don't worry"" was not enough for me to disregard the value. :p

My work was going back and forth between labeling function, applying function and training a classifier. I would be helpful if the cells that the user runs are compiled into a single function (on a single cell) so I could simply call the function.

For example, prepare a function that traverses the namespace to list up any functions that begin with lf (or a longer prefix if it conflicts with something).
","The instructions are clear and the user study is organized well. I'm curious about the (psychological) effect of the time limit and being monitored/recorded.

I may not pay attention but the input argument `x` of each labeling function was not clear at the beginning, which took a couple of minutes to figure out.",,p2
18,5/22/2020 0:56:40,Ruler,4,5,3,5,"My strategy is simply adding salient words/phrases of each class while monitoring the dev set performance. As I added labeling functions, I tried to create more detailed rules as I progress.","1)
It was not very intuitive how the system makes use of the labeling functions I made. What I was confused is when I saw the recall of class 0 dropped after adding labeling function for class 0. I had to conduct label-function engineering to figure out the best combination.

2)
As I asked during the user study, it would be helpful if I could directly add rules that are not activated by the current example (which I could with Snorkel.)

3)
Somehow, it seems that the data has more positive examples than negative examples. It will be helpful if the system has a search function to retrieve a negative example (that contains certain words etc.)

4)
I found several examples from which I didn't want to create labeling functions, but I would like to simply label the examples. This may be for the user study but only allowing the user to create labeling functions may not be the best way.

5)
Similarly, in practice, it should be better having a base classifier/base dictionary as a starting point. For example (I worked on a sentiment analysis task today), using a pre-trained classifier (trained on other sentiment classifier dataset) and/and/or using sentiment dictionary that contains words with sentiment polarity information. I feel like what I did with the system is approximately close to reconstructing an affective dictionary from scratch (tuned toward the dataset, in one sense.)
","The user study was well organized and instructions were clear.

I'm wondering if the user study randomly shuffles the order of methods. Although two tools/datasets are different, I feel like I was more prepared to work on the task.",,p2
19,5/28/2020 14:12:46,Snorkel,3,4,2,4,"I tried to create a bunch of labeling functions on filtering by certain tokens at beginning and see how each works; then I modified those that turn out to have most wrong labels and got better results. Also I tried to have labeling functions on length and non-letters of the text, which seems to be not very useful. I should have tried to ensemble the labeling functions, which would have improve the coverage a lot.","Providing more stats/exploration options in terms of helping the user improve coverage. Instead of simply showing overlapping and conflicts, it would be better to see the samples and stats of two LFs by their overlap or conflict. Also it could automatically search for ensembling the labeling functions and provide suggestions to the user.",,,p8
20,5/28/2020 15:59:44,Ruler,4,4,2,5,"I think it is task dependent. For sentiment analysis, the coverage of labeling functions on certain tokens or phrases can be relatively small and may not be accurate as there are many variants in the phrase and the negation would affect the result. ","Like snorkel, I think auto suggestions on improving the coverage of LFs could be very helpful. And it may be useful to allow users combine LFs or edit LFs in python in order to reduce the execution time and to be more flexible for users with coding experience. The regex concept should be very useful but I only use it for several times, and I think it would be great if the tool can suggest regex expressions based on user's annotation.",I feel that there could be 10-15 more time after the tutorial for users to play with the tool on the example task. In both user studies I figured out ways to improve the performance shortly after it is finished.,,p8
