,action,time,class,examples,function,text,lfs,num_lfs,data,f1,precision,recall,training_label_coverage,training_label_size,label,lf_ids,lf_id,accuracy,micro_f1,precision_0,precision_1,recall_0,recall_1,dirname,time_delta,tool,task,participant,dataset,num_concepts,NER,annotations,id,index,time_first_seen,concept,len,time_submitted,suggested_lf_ids,class_0_ratio,expected_class_0_ratio,num_deleted,mistakes,condition
6,heldout_test_stats,2020-05-20 01:24:39.117100,,,,,,3.0,heldout,0.5221932114882506,0.5235602094240838,0.5208333333333334,0.0,,,,,,,,,,,,0.6287881666666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
7,show_examples,2020-05-20 01:24:44.853681,,"                                                                                                           text  \
443  SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE                                                                     
12   I don&39;t think this song will ever get old ﻿                                                               
78   who the fuck cheats on megan fox﻿                                                                            
122  Suscribe my channel please﻿                                                                                  
51   coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿   

     seen  pred_label  
443  0     0.5         
12   0     0.5         
78   0     0.5         
122  0     0.5         
51   0     0.5         ",,,,3.0,,,,,0.0,,label_model_predictions,,,,,,,,,,0.72439785,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
8,lf_analysis_train,2020-05-20 01:24:52.438983,,,,,,3.0,train,,,,0.0,,,"[0, 1, 2]",,,,,,,,,0.85081955,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
9,lf_analysis_dev,2020-05-20 01:24:52.602147,,,,,,3.0,dev,,,,0.0,,,"[0, 1, 2]",,,,,,,,,0.85353895,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
10,show_examples,2020-05-20 01:24:58.499823,,"                                             text  seen  pred_label
59   Subscribe ME!﻿                                0     0.5       
245  She is perfect! &lt;3                         0     0.5       
353  Check out this playlist on YouTube:pl﻿        0     0.5       
30   Whose who are watching this in 2015.  LIKE!﻿  0     0.5       
46   Love😘❤💖﻿                                      0     0.5       ",,,,3.0,,,,,0.0,,unlabeled,,,,,,,,,,0.95183355,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
11,show_examples,2020-05-20 01:25:07.152312,,"Empty DataFrame
Columns: [label, text, pred_label, label_from_this_LF]
Index: []",,,,3.0,,,,,0.0,,incorrect,,2.0,,,,,,,,1.0960417,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
12,show_examples,2020-05-20 01:25:11.282142,,"Empty DataFrame
Columns: [label, text, pred_label, label_from_this_LF]
Index: []",,,,3.0,,,,,0.0,,incorrect,,0.0,,,,,,,,1.1648722,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
13,show_examples,2020-05-20 01:25:15.465965,,"Empty DataFrame
Columns: [label, text, pred_label, label_from_this_LF]
Index: []",,,,3.0,,,,,0.0,,incorrect,,-1.0,,,,,,,,1.2346025833333334,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
14,show_examples,2020-05-20 01:25:18.293048,,"Empty DataFrame
Columns: [label, text, pred_label, label_from_this_LF]
Index: []",,,,3.0,,,,,0.0,,incorrect,,0.0,,,,,,,,1.2817206333333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
15,test_function,2020-05-20 01:27:02.461991,,,lf0,your text here,,3.0,,,,,0.0,,,,,,,,,,,,3.017869683333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
16,test_function,2020-05-20 01:27:35.532992,,,lf0,im sorry for the spam but My name is Jenny. I,,3.0,,,,,0.0,,,,,,,,,,,,3.5690530333333332,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
17,test_function,2020-05-20 01:27:45.840324,,,lf0,im sorry for the spam but My name is Jenny. I,,3.0,,,,,0.0,,,,,,,,,,,,3.7408419,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
18,test_function,2020-05-20 01:27:57.206700,,,lf0,im sorry for the spam but My name is Jenny. I,,3.0,,,,,0.0,,,,,,,,,,,,3.9302815,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
19,test_function,2020-05-20 01:28:03.475075,,,lf0,iasdjkf a,,3.0,,,,,0.0,,,,,,,,,,,,4.034754416666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
20,submit_lfs,2020-05-20 01:28:11.714010,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: []]",3.0,,,,,0.0,,,,,,,,,,,,4.17207,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
21,stats,2020-05-20 01:28:12.483621,,,,,,3.0,dev,0.5517241379310345,0.5384615384615384,0.5656565656565656,0.00125,1.0,,,,,,,,,,,4.18489685,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
22,heldout_test_stats,2020-05-20 01:28:12.497978,,,,,,3.0,heldout,0.5221932114882506,0.5235602094240838,0.5208333333333334,0.00125,,,,,,,,,,,,4.185136133333334,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
23,show_examples,2020-05-20 01:28:16.064127,,"                                                                                                           text  \
443  SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE                                                                     
12   I don&39;t think this song will ever get old ﻿                                                               
78   who the fuck cheats on megan fox﻿                                                                            
122  Suscribe my channel please﻿                                                                                  
51   coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿   

     seen  pred_label  
443  0     0.5         
12   0     0.5         
78   0     0.5         
122  0     0.5         
51   0     0.5         ",,,,3.0,,,,,0.00125,,label_model_predictions,,,,,,,,,,4.24457195,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
24,lf_analysis_train,2020-05-20 01:28:18.436688,,,,,,3.0,train,,,,0.00125,,,"[0, 1, 2]",,,,,,,,,4.284114633333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
25,lf_analysis_dev,2020-05-20 01:28:20.524656,,,,,,3.0,dev,,,,0.00125,,,"[0, 1, 2]",,,,,,,,,4.3189141,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
26,show_examples,2020-05-20 01:28:24.213452,,"                                                                                                             text  \
22   Check out this playlist on YouTube:﻿                                                                           
23   just checking the views﻿                                                                                       
331  Hey come check us out were new on youtube let us know what you think and  don't forget to subscribe thanks.﻿   
30   Whose who are watching this in 2015.  LIKE!﻿                                                                   
40   LMFAO best songs ever!﻿                                                                                        

     seen  pred_label  
22   0     0.5         
23   0     0.5         
331  0     0.5         
30   0     0.5         
40   0     0.5         ",,,,3.0,,,,,0.00125,,unlabeled,,,,,,,,,,4.380394033333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
27,test_function,2020-05-20 01:30:22.417950,,,lf0,iasdjkf a,,3.0,,,,,0.00125,,,,,,,,,,,,6.350469,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
28,test_function,2020-05-20 01:30:25.011653,,,lf1,iasdjkf a,,3.0,,,,,0.00125,,,,,,,,,,,,6.3936973833333335,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
29,test_function,2020-05-20 01:30:29.653116,,,lf1,iasdjkf a http://sdajfk ,,3.0,,,,,0.00125,,,,,,,,,,,,6.4710551,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
30,submit_lfs,2020-05-20 01:30:32.173400,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: []]",3.0,,,,,0.00125,,,,,,,,,,,,6.513059833333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
31,stats,2020-05-20 01:30:34.408267,,,,,,3.0,dev,0.6132075471698113,0.5752212389380531,0.6565656565656566,0.09625,77.0,,,,,,,,,,,6.550307616666666,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
32,heldout_test_stats,2020-05-20 01:30:34.422610,,,,,,3.0,heldout,0.5885286783042394,0.5645933014354066,0.6145833333333334,0.09625,,,,,,,,,,,,6.5505466666666665,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
33,show_examples,2020-05-20 01:30:36.578641,,"                                                                                                           text  \
443  SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE                                                                     
12   I don&39;t think this song will ever get old ﻿                                                               
78   who the fuck cheats on megan fox﻿                                                                            
122  Suscribe my channel please﻿                                                                                  
51   coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿   

     seen  pred_label  
443  0     0.500000    
12   0     0.500000    
78   0     0.500000    
122  0     0.500000    
51   0     0.256255    ",,,,3.0,,,,,0.09625,,label_model_predictions,,,,,,,,,,6.586480516666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
34,lf_analysis_train,2020-05-20 01:30:43.049199,,,,,,3.0,train,,,,0.09625,,,"[0, 1, 2]",,,,,,,,,6.69432315,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
35,lf_analysis_dev,2020-05-20 01:30:44.967827,,,,,,3.0,dev,,,,0.09625,,,"[0, 1, 2]",,,,,,,,,6.726300283333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
36,test_function,2020-05-20 01:31:59.311622,,,lf1,iasdjkf a http://sdajfk ,,3.0,,,,,0.09625,,,,,,,,,,,,7.965363533333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
37,test_function,2020-05-20 01:32:07.430458,,,lf1,iasdjkf a http://sdajfk <br> sdajkf AS <p> sadf as ,,3.0,,,,,0.09625,,,,,,,,,,,,8.100677466666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
38,test_function,2020-05-20 01:32:11.165422,,,lf2,iasdjkf a http://sdajfk <br> sdajkf AS <p> sadf as ,,3.0,,,,,0.09625,,,,,,,,,,,,8.162926866666666,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
39,test_function,2020-05-20 01:32:23.074690,,,lf2,iasdjkf a http://sdajfk <br> sdajkf AS <p> sadf as </p>,,3.0,,,,,0.09625,,,,,,,,,,,,8.361414666666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
40,test_function,2020-05-20 01:32:43.634645,,,lf2,iasdjkf a http://sdajfk <br> sdajkf AS <p> sadf as </p>,,3.0,,,,,0.09625,,,,,,,,,,,,8.704080583333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
41,submit_lfs,2020-05-20 01:32:46.317140,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: []]",3.0,,,,,0.09625,,,,,,,,,,,,8.748788833333334,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
42,stats,2020-05-20 01:32:47.066779,,,,,,3.0,dev,0.6103286384976525,0.5701754385964912,0.6565656565656566,0.10625,85.0,,,,,,,,,,,8.761282816666666,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
43,heldout_test_stats,2020-05-20 01:32:47.081593,,,,,,3.0,heldout,0.5885286783042394,0.5645933014354066,0.6145833333333334,0.10625,,,,,,,,,,,,8.761529716666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
44,show_examples,2020-05-20 01:32:51.651813,,"                                                                                                           text  \
443  SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE                                                                     
12   I don&39;t think this song will ever get old ﻿                                                               
78   who the fuck cheats on megan fox﻿                                                                            
122  Suscribe my channel please﻿                                                                                  
51   coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿   

     seen  pred_label  
443  0     0.500000    
12   0     0.500000    
78   0     0.500000    
122  0     0.500000    
51   0     0.031042    ",,,,3.0,,,,,0.10625,,label_model_predictions,,,,,,,,,,8.83770005,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
45,lf_analysis_train,2020-05-20 01:33:06.902361,,,,,,3.0,train,,,,0.10625,,,"[0, 1, 2]",,,,,,,,,9.09187585,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
46,lf_analysis_dev,2020-05-20 01:33:08.731491,,,,,,3.0,dev,,,,0.10625,,,"[0, 1, 2]",,,,,,,,,9.12236135,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
47,show_examples,2020-05-20 01:33:18.716359,,"                                                                text  seen  \
75   Your the best♣♥﻿                                                 0      
158  You are all sheep, period. This is terrible music.﻿              0      
332  Hi. Check out and share our songs.                               0      
216  Check out this video on YouTube:﻿                                0      
313  Katy Perry's songs are the best of the songs of women artists.﻿  0      

     pred_label  
75   0.5         
158  0.5         
332  0.5         
216  0.5         
313  0.5         ",,,,3.0,,,,,0.10625,,unlabeled,,,,,,,,,,9.288775816666666,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
48,show_examples,2020-05-20 01:33:27.854526,,"Empty DataFrame
Columns: [label, text, pred_label, label_from_this_LF]
Index: []",,,,3.0,,,,,0.10625,,incorrect,,0.0,,,,,,,,9.4410786,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
49,show_examples,2020-05-20 01:33:35.707602,,"     label  \
135  0       

                                                                                                                                                                                                                                        text  \
135  So underrated better<br />Than  Katy perry :/ but in not saying Katy is bad but she has no meaning to her songs. Shakira has<br />Meaningful songs these are the songs which bring memories and vibe&39;s. I will miss it.   <br />   ﻿   

     pred_label  label_from_this_LF  
135  0.134078    1                   ",,,,3.0,,,,,0.10625,,incorrect,,2.0,,,,,,,,9.5719632,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
50,show_examples,2020-05-20 01:33:46.842337,,"Empty DataFrame
Columns: [label, text, pred_label, label_from_this_LF]
Index: []",,,,3.0,,,,,0.10625,,incorrect,,1.0,,,,,,,,9.757542116666666,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
51,train_model,2020-05-20 01:33:50.898916,,,,,,3.0,test,,,,0.10625,,,,,0.525,0.6885245901639345,0.0,0.525,0.0,1.0,,9.825151766666666,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
52,heldout_test_LR_stats,2020-05-20 01:33:50.945048,,,,,,3.0,heldout,,,,0.10625,,,,,0.5393258426966292,0.7007299270072993,0.0,0.5393258426966292,0.0,1.0,,9.825920633333334,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
53,test_function,2020-05-20 01:36:52.798928,,,lf2,Subscribe my channel,,3.0,,,,,0.10625,,,,,,,,,,,,12.856818633333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
54,test_function,2020-05-20 01:36:57.820726,,,lf4,Subscribe my channel,,3.0,,,,,0.10625,,,,,,,,,,,,12.940515266666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
55,test_function,2020-05-20 01:37:02.109512,,,lf4,Subscribed my channel,,3.0,,,,,0.10625,,,,,,,,,,,,13.011995033333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
56,test_function,2020-05-20 01:37:04.331860,,,lf4,Subscrib my channel,,3.0,,,,,0.10625,,,,,,,,,,,,13.049034166666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
57,submit_lfs,2020-05-20 01:37:13.123276,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: []]",5.0,,,,,0.10625,,,,,,,,,,,,13.195557766666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
58,stats,2020-05-20 01:37:16.687565,,,,,,5.0,dev,0.5517241379310345,0.5384615384615384,0.5656565656565656,0.17125,137.0,,,,,,,,,,,13.254962583333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
59,heldout_test_stats,2020-05-20 01:37:16.704586,,,,,,5.0,heldout,0.5463917525773196,0.5408163265306123,0.5520833333333334,0.17125,,,,,,,,,,,,13.255246266666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
60,show_examples,2020-05-20 01:37:19.982479,,"                                                                                                           text  \
443  SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE                                                                     
12   I don&39;t think this song will ever get old ﻿                                                               
78   who the fuck cheats on megan fox﻿                                                                            
122  Suscribe my channel please﻿                                                                                  
51   coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿   

     seen  pred_label  
443  0     0.513265    
12   0     0.806910    
78   0     0.500000    
122  0     0.500000    
51   0     0.034404    ",,,,5.0,,,,,0.17125,,label_model_predictions,,,,,,,,,,13.309877816666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
61,lf_analysis_train,2020-05-20 01:37:37.612580,,,,,,5.0,train,,,,0.17125,,,"[0, 1, 2, 3, 4]",,,,,,,,,13.603712833333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
62,lf_analysis_dev,2020-05-20 01:37:39.618128,,,,,,5.0,dev,,,,0.17125,,,"[0, 1, 2, 3, 4]",,,,,,,,,13.637138633333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
63,show_examples,2020-05-20 01:37:49.540724,,"                                                                                     text  \
156  watch youtube video &quot;EMINEM -YTMA artist of the year&quot; plz share to vote!!!   
347  subscribe to me for call of duty vids and give aways Goal-100 subs﻿                    
119  see it all, human folly right?﻿                                                        
83   Check my first video out﻿                                                              
417  Hey Go To My Channel Check Out My Dongs Thanks YouTuber&39;s                           

     seen  pred_label  
156  0     0.5         
347  0     0.5         
119  0     0.5         
83   0     0.5         
417  0     0.5         ",,,,5.0,,,,,0.17125,,unlabeled,,,,,,,,,,13.802515233333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
64,show_examples,2020-05-20 01:37:54.063063,,"Empty DataFrame
Columns: [label, text, pred_label, label_from_this_LF]
Index: []",,,,5.0,,,,,0.17125,,incorrect,,1.0,,,,,,,,13.87788755,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
65,show_examples,2020-05-20 01:37:58.389619,,"Empty DataFrame
Columns: [label, text, pred_label, label_from_this_LF]
Index: []",,,,5.0,,,,,0.17125,,incorrect,,4.0,,,,,,,,13.949996816666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
66,show_examples,2020-05-20 01:38:00.206582,,"     label  \
50   1       
355  1       

                                                                                                                                                                                                                                     text  \
50   Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿   
355  Hi Guys im an Upcoming Rapper if you could check out my channel and tell me what you think maybe subscribe or like i would really appreciate it all HATERS are welcome to :) thanks                                                    

     pred_label  label_from_this_LF  
50   0.806910    0                   
355  0.815044    0                   ",,,,5.0,,,,,0.17125,,incorrect,,3.0,,,,,,,,13.980279533333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
67,test_function,2020-05-20 01:39:28.132343,,,lf4,Subscrib my channel,,5.0,,,,,0.17125,,,,,,,,,,,,15.445708883333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
68,submit_lfs,2020-05-20 01:39:30.658850,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: []]",5.0,,,,,0.17125,,,,,,,,,,,,15.487817333333334,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
69,stats,2020-05-20 01:39:31.461970,,,,,,5.0,dev,0.6785714285714285,0.608,0.7676767676767676,0.25375,203.0,,,,,,,,,,,15.501202666666666,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
70,heldout_test_stats,2020-05-20 01:39:31.478444,,,,,,5.0,heldout,0.6791569086651055,0.6170212765957447,0.7552083333333334,0.25375,,,,,,,,,,,,15.501477233333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
71,show_examples,2020-05-20 01:39:33.152396,,"                                                                                                           text  \
443  SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE                                                                     
12   I don&39;t think this song will ever get old ﻿                                                               
78   who the fuck cheats on megan fox﻿                                                                            
122  Suscribe my channel please﻿                                                                                  
51   coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿   

     seen  pred_label  
443  0     0.451091    
12   0     0.723616    
78   0     0.500000    
122  0     0.500000    
51   0     0.013794    ",,,,5.0,,,,,0.25375,,label_model_predictions,,,,,,,,,,15.529376433333333,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
72,lf_analysis_train,2020-05-20 01:39:36.461821,,,,,,5.0,train,,,,0.25375,,,"[0, 1, 2, 3, 4]",,,,,,,,,15.584533516666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
73,lf_analysis_dev,2020-05-20 01:39:42.581692,,,,,,5.0,dev,,,,0.25375,,,"[0, 1, 2, 3, 4]",,,,,,,,,15.686531366666667,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
74,show_examples,2020-05-20 01:39:49.652727,,"                                                                         text  \
27   Check me out! I'm kyle. I rap so yeah ﻿                                    
212  Still the best. :D﻿                                                        
111  Best song ever made i swear :D i still hear even doe it old!! who else?﻿   
165  Song name??﻿                                                               
122  Hay dakota u earned a subscribee                                           

     seen  pred_label  
27   0     0.5         
212  0     0.5         
111  0     0.5         
165  0     0.5         
122  0     0.5         ",,,,5.0,,,,,0.25375,,unlabeled,,,,,,,,,,15.80438195,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
75,train_model,2020-05-20 01:40:15.985049,,,,,,5.0,test,,,,0.25375,,,,,0.51,0.6754966887417219,0.0,0.5177664974619289,0.0,0.9714285714285714,,16.243253983333332,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
76,heldout_test_LR_stats,2020-05-20 01:40:16.034514,,,,,,5.0,heldout,,,,0.25375,,,,,0.5280898876404494,0.6911764705882353,0.0,0.5340909090909091,0.0,0.9791666666666666,,16.2440784,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
